[2017-03-28 15:40:00.696] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 1, Size: 4, Distance: 50, Angle: -6085, SNR: 0, Speed: -96
[2017-03-28 15:40:00.696] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 2, Size: 4, Distance: 66, Angle: -638, SNR: 0, Speed: -73
[2017-03-28 15:40:00.696] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 3, Size: 2, Distance: 143, Angle: -3464, SNR: 0, Speed: 78
[2017-03-28 15:40:00.696] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 4, Size: 3, Distance: 154, Angle: -1379, SNR: 0, Speed: -105
[2017-03-28 15:40:00.697] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 5, Size: 1, Distance: 310, Angle: -4025, SNR: 0, Speed: 74
[2017-03-28 15:40:00.697] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 6, Size: 3, Distance: 310, Angle: -4087, SNR: 0, Speed: 71
[2017-03-28 15:40:00.697] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 7, Size: 3, Distance: 441, Angle: -1256, SNR: 0, Speed: -98
[2017-03-28 15:40:00.697] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 8, Size: 3, Distance: 518, Angle: -1090, SNR: 0, Speed: -77
[2017-03-28 15:40:00.697] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 9, Size: 3, Distance: 585, Angle: -1241, SNR: 0, Speed: -85
[2017-03-28 15:40:00.697] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 10, Size: 3, Distance: 717, Angle: -6130, SNR: 0, Speed: 72
[2017-03-28 15:40:00.697] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 11, Size: 3, Distance: 758, Angle: -5903, SNR: 0, Speed: 68
[2017-03-28 15:40:00.796] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> System: '2(RSU-08)' DETECTION - 2017-03-28 15:40:00
[2017-03-28 15:40:00.796] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 0, Size: 2, Distance: 30, Angle: -4515, SNR: 0, Speed: -72
[2017-03-28 15:40:00.796] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 1, Size: 4, Distance: 52, Angle: -4653, SNR: 0, Speed: -97
[2017-03-28 15:40:00.796] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 2, Size: 4, Distance: 68, Angle: -426, SNR: 0, Speed: -73
[2017-03-28 15:40:00.796] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 3, Size: 2, Distance: 141, Angle: -3382, SNR: 0, Speed: 78
[2017-03-28 15:40:00.796] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 4, Size: 3, Distance: 158, Angle: 207, SNR: 0, Speed: -105
[2017-03-28 15:40:00.797] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 5, Size: 3, Distance: 308, Angle: -3713, SNR: 0, Speed: 71
[2017-03-28 15:40:00.797] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 6, Size: 3, Distance: 443, Angle: -1427, SNR: 0, Speed: -98
[2017-03-28 15:40:00.797] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 7, Size: 3, Distance: 468, Angle: -3473, SNR: 0, Speed: 94
[2017-03-28 15:40:00.797] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 8, Size: 3, Distance: 520, Angle: -1472, SNR: 0, Speed: -77
[2017-03-28 15:40:00.797] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 9, Size: 3, Distance: 587, Angle: -929, SNR: 0, Speed: -85
[2017-03-28 15:40:00.797] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 10, Size: 2, Distance: 713, Angle: -5712, SNR: 0, Speed: 72
[2017-03-28 15:40:00.797] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 11, Size: 3, Distance: 756, Angle: -4418, SNR: 0, Speed: 68
[2017-03-28 15:40:00.896] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> System: '2(RSU-08)' DETECTION - 2017-03-28 15:40:00
[2017-03-28 15:40:00.896] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 0, Size: 4, Distance: 32, Angle: -3012, SNR: 0, Speed: -72
[2017-03-28 15:40:00.896] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 1, Size: 3, Distance: 56, Angle: -4221, SNR: 0, Speed: -97
[2017-03-28 15:40:00.896] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 2, Size: 4, Distance: 70, Angle: -134, SNR: 0, Speed: -73
[2017-03-28 15:40:00.896] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 3, Size: 3, Distance: 139, Angle: -2046, SNR: 0, Speed: 77
[2017-03-28 15:40:00.896] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 4, Size: 3, Distance: 162, Angle: -1577, SNR: 0, Speed: -105
[2017-03-28 15:40:00.896] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 5, Size: 2, Distance: 306, Angle: -3859, SNR: 0, Speed: 71
[2017-03-28 15:40:00.896] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 6, Size: 3, Distance: 447, Angle: -409, SNR: 0, Speed: -98
[2017-03-28 15:40:00.896] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 7, Size: 4, Distance: 466, Angle: -2408, SNR: 0, Speed: 94
[2017-03-28 15:40:00.896] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 8, Size: 5, Distance: 524, Angle: -430, SNR: 0, Speed: -77
[2017-03-28 15:40:00.896] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 9, Size: 3, Distance: 589, Angle: -515, SNR: 0, Speed: -85
[2017-03-28 15:40:00.896] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 10, Size: 4, Distance: 711, Angle: -3292, SNR: 0, Speed: 71
[2017-03-28 15:40:00.896] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 11, Size: 3, Distance: 752, Angle: -3913, SNR: 0, Speed: 68
[2017-03-28 15:40:00.996] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> System: '2(RSU-08)' DETECTION - 2017-03-28 15:40:00
[2017-03-28 15:40:00.996] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 0, Size: 3, Distance: 34, Angle: -4690, SNR: 0, Speed: -72
[2017-03-28 15:40:00.997] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 1, Size: 4, Distance: 60, Angle: -4572, SNR: 0, Speed: -97
[2017-03-28 15:40:00.997] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 2, Size: 4, Distance: 72, Angle: -128, SNR: 0, Speed: -73
[2017-03-28 15:40:00.997] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 3, Size: 2, Distance: 135, Angle: -5414, SNR: 0, Speed: 77
[2017-03-28 15:40:00.997] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 4, Size: 1, Distance: 143, Angle: -3372, SNR: 0, Speed: 78
[2017-03-28 15:40:00.997] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 5, Size: 3, Distance: 164, Angle: -2661, SNR: 0, Speed: -105
[2017-03-28 15:40:00.997] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 6, Size: 4, Distance: 302, Angle: -4222, SNR: 0, Speed: 71
[2017-03-28 15:40:00.997] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 7, Size: 4, Distance: 452, Angle: -805, SNR: 0, Speed: -98
[2017-03-28 15:40:00.997] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 8, Size: 1, Distance: 462, Angle: -925, SNR: 0, Speed: -4
[2017-03-28 15:40:00.997] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 9, Size: 3, Distance: 462, Angle: -2806, SNR: 0, Speed: 94
[2017-03-28 15:40:00.997] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 10, Size: 3, Distance: 527, Angle: -303, SNR: 0, Speed: -77
[2017-03-28 15:40:00.997] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 11, Size: 3, Distance: 593, Angle: -1700, SNR: 0, Speed: -85
[2017-03-28 15:40:00.997] meta.Radar2.Clients.Radar2Dispatcher - DEBUG> Move ID: 12, Size: 4, Distance: 709, Angle: -4399, SNR: 0, Speed: 72
